artist_name,track_name,album_name,release_year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
Taylor Swift,"You're On Your Own, Kid",Midnights (3am Edition),22/10/22,0.416,0.694,0.38,8.47E-06,0.126,-10.307,0.0614,120.044,0.376,70,194206
Taylor Swift,Midnight Rain,Midnights (3am Edition),22/10/22,0.71,0.636,0.377,6.51E-05,0.115,-11.721,0.0708,139.966,0.23,69,174782
Taylor Swift,Question...?,Midnights (3am Edition),22/10/22,0.226,0.751,0.502,0,0.297,-8.777,0.162,108.989,0.112,66,210556
Taylor Swift,Vigilante Shit,Midnights (3am Edition),22/10/22,0.16,0.87,0.279,1.74E-05,0.121,-11.134,0.364,79.996,0.16,69,164801
Taylor Swift,Bejeweled,Midnights (3am Edition),22/10/22,0.0661,0.7,0.55,0.000102,0.091,-9.13,0.0653,164.003,0.412,70,194165
Taylor Swift,Labyrinth,Midnights (3am Edition),22/10/22,0.791,0.487,0.313,0.348,0.124,-15.434,0.0487,110.039,0.141,66,247962
Taylor Swift,Karma,Midnights (3am Edition),22/10/22,0.074,0.649,0.622,0,0.594,-7.054,0.0582,90.024,0.106,75,204852
Taylor Swift,Sweet Nothing,Midnights (3am Edition),22/10/22,0.967,0.334,0.161,4.71E-05,0.115,-14.875,0.0506,176.747,0.396,67,188496
Taylor Swift,Mastermind,Midnights (3am Edition),22/10/22,0.571,0.661,0.352,0.00147,0.0884,-14.077,0.117,125.934,0.13,74,191039
Taylor Swift,The Great War,Midnights (3am Edition),22/10/22,0.219,0.573,0.741,2.23E-05,0.0842,-8.987,0.0353,96.016,0.554,75,240355
Taylor Swift,Bigger Than The Whole Sky,Midnights (3am Edition),22/10/22,0.826,0.422,0.235,0.00648,0.115,-12.379,0.0568,165.71,0.068,73,218502
Taylor Swift,Paris,Midnights (3am Edition),22/10/22,0.112,0.7,0.509,3.27E-05,0.137,-10.547,0.0789,110.947,0.345,72,196258
Taylor Swift,High Infidelity,Midnights (3am Edition),22/10/22,0.723,0.646,0.529,0,0.0885,-10.179,0.0864,87.862,0.755,71,231475
Taylor Swift,Glitch,Midnights (3am Edition),22/10/22,0.361,0.675,0.466,0,0.11,-9.738,0.201,140.864,0.347,70,148781
Taylor Swift,"Would've, Could've, Should've",Midnights (3am Edition),22/10/22,0.43,0.483,0.84,0.000575,0.146,-6.508,0.119,157.979,0.55,75,260361
Taylor Swift,Dear Reader,Midnights (3am Edition),22/10/22,0.481,0.562,0.388,0.00145,0.117,-12.088,0.0705,107.747,0.159,71,225194
Taylor Swift,Lavender Haze,Midnights,21/10/22,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,84,202395
Taylor Swift,Maroon,Midnights,21/10/22,0.0573,0.637,0.398,1.03E-06,0.101,-8.294,0.0564,108.075,0.0374,79,218270
Taylor Swift,Anti-Hero,Midnights,21/10/22,0.13,0.637,0.643,1.80E-06,0.142,-6.571,0.0519,97.008,0.533,92,200690
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights,21/10/22,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,0.193,77,256124
Taylor Swift,"You're On Your Own, Kid",Midnights,21/10/22,0.401,0.696,0.396,5.20E-06,0.125,-10.289,0.0656,120.041,0.38,85,194206
Taylor Swift,Midnight Rain,Midnights,21/10/22,0.69,0.643,0.363,5.17E-05,0.115,-11.738,0.0767,139.865,0.23,84,174782
Taylor Swift,Question...?,Midnights,21/10/22,0.2,0.751,0.502,0,0.296,-8.763,0.167,108.943,0.106,74,210556
Taylor Swift,Vigilante Shit,Midnights,21/10/22,0.173,0.798,0.277,5.25E-05,0.121,-11.096,0.39,79.846,0.163,80,164801
Taylor Swift,Bejeweled,Midnights,21/10/22,0.0618,0.696,0.559,5.58E-05,0.0887,-9.19,0.0693,163.999,0.433,84,194165
Taylor Swift,Labyrinth,Midnights,21/10/22,0.785,0.406,0.306,0.488,0.122,-15.48,0.0517,110.014,0.122,77,247962
Taylor Swift,Karma,Midnights,21/10/22,0.0734,0.642,0.62,0,0.483,-7.091,0.0666,90.02,0.0969,88,204852
Taylor Swift,Sweet Nothing,Midnights,21/10/22,0.964,0.337,0.156,7.72E-05,0.115,-14.919,0.0518,176.655,0.39,76,188496
Taylor Swift,Mastermind,Midnights,21/10/22,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,0.124,78,191039
Taylor Swift,State Of Grace (Taylor's Version),Red (Taylor's Version),12/11/21,0.000328,0.594,0.713,0,0.114,-5.314,0.0503,129.958,0.328,72,295413
Taylor Swift,Red (Taylor's Version),Red (Taylor's Version),12/11/21,0.00108,0.516,0.777,1.62E-06,0.0761,-4.908,0.0375,125.047,0.408,80,223093
Taylor Swift,Treacherous (Taylor's Version),Red (Taylor's Version),12/11/21,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,72,242720
Taylor Swift,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),12/11/21,0.0129,0.584,0.557,0,0.0576,-6.371,0.0342,154.008,0.767,81,219760
Taylor Swift,All Too Well (Taylor's Version),Red (Taylor's Version),12/11/21,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,77,329160
Taylor Swift,22 (Taylor's Version),Red (Taylor's Version),12/11/21,0.000443,0.642,0.695,1.02E-05,0.0753,-5.62,0.0281,103.984,0.642,80,230960
Taylor Swift,I Almost Do (Taylor's Version),Red (Taylor's Version),12/11/21,0.0167,0.511,0.559,0,0.113,-6.587,0.0264,145.88,0.248,71,244586
Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),12/11/21,0.0317,0.567,0.686,1.86E-06,0.0732,-6.139,0.175,172.014,0.716,81,193146
Taylor Swift,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),12/11/21,0.0848,0.693,0.681,0,0.0768,-7.039,0.025,100.02,0.663,70,205786
Taylor Swift,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor__ Version),Red (Taylor's Version),12/11/21,0.0399,0.502,0.534,0,0.0977,-5.954,0.0278,94.05,0.155,73,299080
Taylor Swift,Holy Ground (Taylor's Version),Red (Taylor's Version),12/11/21,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,71,202960
Taylor Swift,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),12/11/21,0.622,0.601,0.406,9.19E-05,0.133,-11.827,0.0275,130.059,0.232,72,284773
Taylor Swift,The Lucky One (Taylor's Version),Red (Taylor's Version),12/11/21,0.066,0.686,0.571,0,0.0608,-7.138,0.05,117.889,0.538,69,240466
Taylor Swift,Everything Has Changed (feat. Ed Sheeran) (Taylor__ Version),Red (Taylor's Version),12/11/21,0.271,0.498,0.61,0,0.223,-5.098,0.0363,79.918,0.474,76,245426
Taylor Swift,Starlight (Taylor's Version),Red (Taylor's Version),12/11/21,0.00324,0.628,0.685,0,0.18,-5.864,0.0358,126.014,0.605,69,220413
