artist_name,name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
BTS,The Truth Untold,242292,0.57,0.422,1,-7.561,0.0422,0.372,0,0.127,0.169,113.007
BTS,134340,230063,0.664,0.688,11,-6.466,0.0543,0.153,9.14E-05,0.173,0.65,106.022
BTS,Paradise,211223,0.519,0.828,5,-5.523,0.365,0.214,0,0.0571,0.929,139.413
BTS,Love Maze,221529,0.636,0.876,9,-4.652,0.0617,0.0487,0,0.0728,0.759,149.932
BTS,Magic Shop,275695,0.541,0.661,1,-5.838,0.0889,0.103,0,0.0779,0.285,149.926
BTS,Airplane pt.2,218614,0.769,0.817,0,-4.092,0.0339,0.0268,9.95E-05,0.084,0.866,139.979
BTS,Anpanman,232966,0.813,0.875,1,-2.92,0.0918,0.0237,0,0.288,0.756,99.004
BTS,So What,281520,0.656,0.883,9,-4.294,0.0737,0.0238,0,0.0481,0.46,129.947
BTS,Outro: Tear,284980,0.711,0.903,6,-2.723,0.247,0.327,0,0.0887,0.467,140.015
BTS,INTRO : Ringwanderung,86053,0.589,0.824,10,-6.402,0.26,0.552,0.0275,0.133,0.207,115.3
BTS,Best Of Me - Japanese ver.,227920,0.659,0.769,0,-4.262,0.0831,0.0366,0,0.405,0.398,122.006
BTS,Ñª¡¢º¹¡¢_ - Japanese ver.,216706,0.61,0.892,0,-3.52,0.108,0.0704,0,0.315,0.576,93.039
BTS,DNA - Japanese ver.,223706,0.574,0.761,1,-3.579,0.0849,0.00335,0,0.0645,0.597,129.817
BTS,Not Today - Japanese ver.,233880,0.598,0.938,0,-4.068,0.143,0.00191,0,0.88,0.672,110.021
BTS,MIC Drop - Japanese ver.,238226,0.664,0.913,3,-4.474,0.148,0.0136,0,0.1,0.622,169.974
BTS,Don't Leave Me,227413,0.62,0.778,8,-4.622,0.0724,0.116,0,0.312,0.386,147.012
BTS,Go Go - Japanese ver.,237306,0.837,0.69,10,-4.705,0.088,0.222,0,0.0833,0.847,136.07
BTS,Crystal Snow,323360,0.618,0.766,3,-4.507,0.0323,0.117,0,0.121,0.448,113.997
BTS,Spring Day - Japanese ver.,276840,0.572,0.825,8,-4.383,0.037,0.104,0,0.085,0.424,106.976
BTS,Let Go,299706,0.558,0.863,4,-3.53,0.178,0.17,0,0.289,0.388,173.908
BTS,OUTRO : Crack,74746,0.729,0.386,2,-5.623,0.382,0.864,0.574,0.114,0.0567,90.138
BTS,Intro: Serendipity,139971,0.476,0.581,8,-8.795,0.12,0.523,0,0.201,0.282,129.568
BTS,DNA,223122,0.598,0.775,1,-4.035,0.0545,0.022,0,0.0677,0.687,129.819
BTS,Best Of Me,227191,0.651,0.756,8,-4.388,0.0762,0.0298,0,0.396,0.473,121.96
BTS,dimple,196776,0.612,0.844,5,-4.694,0.0756,0.142,0,0.287,0.653,134.868
BTS,Pied Piper,245620,0.583,0.712,2,-4.942,0.0326,0.2,0,0.268,0.776,94.051
BTS,Skit: Billboard Music Awards Speech,107062,0.252,0.694,0,-15.389,0.429,0.38,0.000203,0.66,0.325,87.293
BTS,MIC Drop,238193,0.667,0.889,6,-4.851,0.0918,0.00912,0,0.0816,0.541,169.959
BTS,Go Go,235779,0.856,0.617,10,-5.308,0.0841,0.171,0,0.0857,0.759,136.082
BTS,Outro: Her,228612,0.481,0.927,3,-5.704,0.27,0.317,0,0.0583,0.448,88.931
BTS,Intro: Boy Meets Evil,121770,0.573,0.89,5,-3.53,0.214,0.0212,0,0.132,0.242,130.254
BTS,Blood Sweat & Tears,217051,0.583,0.885,0,-3.571,0.106,0.0244,0,0.357,0.601,92.959
