artist_name,album_release_year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,track_name,album_name,key_mode
Taylor Swift,2022,0.696,0.396,2,-10.289,0.0656,0.401,5.20E-06,0.125,0.38,120.041,194206,FALSE,"You're On Your Own, Kid",Midnights,D major
Taylor Swift,2022,0.643,0.363,0,-11.738,0.0767,0.69,5.17E-05,0.115,0.23,139.865,174782,FALSE,Midnight Rain,Midnights,C major
Taylor Swift,2022,0.751,0.502,7,-8.763,0.167,0.2,0,0.296,0.106,108.943,210556,TRUE,Question...?,Midnights,G major
Taylor Swift,2022,0.798,0.277,4,-11.096,0.39,0.173,5.25E-05,0.121,0.163,79.846,164801,TRUE,Vigilante Shit,Midnights,E minor
Taylor Swift,2022,0.696,0.559,7,-9.19,0.0693,0.0618,5.58E-05,0.0887,0.433,163.999,194165,FALSE,Bejeweled,Midnights,G major
Taylor Swift,2022,0.406,0.306,0,-15.48,0.0517,0.785,0.488,0.122,0.122,110.014,247962,FALSE,Labyrinth,Midnights,C major
Taylor Swift,2022,0.642,0.62,8,-7.091,0.0666,0.0734,0,0.483,0.0969,90.02,204852,TRUE,Karma,Midnights,G# major
Taylor Swift,2022,0.337,0.156,0,-14.919,0.0518,0.964,7.72E-05,0.115,0.39,176.655,188496,FALSE,Sweet Nothing,Midnights,C major
Taylor Swift,2022,0.662,0.357,4,-14.064,0.154,0.553,0.00129,0.0837,0.124,125.966,191039,FALSE,Mastermind,Midnights,E major
Taylor Swift,2021,0.594,0.713,9,-5.314,0.0503,0.000328,0,0.114,0.328,129.958,295413,FALSE,State Of Grace (Taylor's Version),Red (Taylor's Version),A major
Taylor Swift,2021,0.516,0.777,1,-4.908,0.0375,0.00108,1.62E-06,0.0761,0.408,125.047,223093,FALSE,Red (Taylor's Version),Red (Taylor's Version),C# minor
Taylor Swift,2021,0.645,0.593,2,-6.506,0.0288,0.0344,0.000127,0.13,0.299,109.984,242720,FALSE,Treacherous (Taylor's Version),Red (Taylor's Version),D major
Taylor Swift,2021,0.584,0.557,6,-6.371,0.0342,0.0129,0,0.0576,0.767,154.008,219760,FALSE,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),F# major
Taylor Swift,2021,0.44,0.528,0,-7.809,0.0317,0.0171,0.00203,0.234,0.132,185.972,329160,FALSE,All Too Well (Taylor's Version),Red (Taylor's Version),C major
